////////////////////////////////////////////////////////////////////////////////									
// 	[Text Ver]	0.0.2.8							
//	[작업자]	박혜진							
//	[작업일]	2016-07-27 05:24 pm							
//	[작업 내용]	닉시스 호수 이동명령창 추가							
////////////////////////////////////////////////////////////////////////////////									
// 서버용 파일은 로랜협곡 주석을 제외하고 클라이언트용 파일은 로랜협곡 주석처리 해야함									
// 로랜협곡의 순서는 변경 불가능 (24번째 반드시 유지)									
//MaxLevel 추가. MinLevel은 최소입장 가능 레벨, MaxLevel은 최대 입장 가능 레벨이다.									
//index	Movename(kor)	Movename(eng)	Zen	MinLevel	MaxLevel	GateNumber	난이도정렬순서	가나다정렬순서	몬스터 구분
28	"Kanturu Ruins"	"Kanturu_ruin1"	9000	160	350	138	27	49	353
29	"Kanturu Ruins 2"	"Kanturu_ruin2"	9000	160	350	141	30	50	350
45	"Kanturu Ruins Island"	"Kanturu_ruin_island"	15000	380	-1	334	38	52	556
30	"Kanturu Remain"	"Kanturu_Remain"	12000	300	-1	139	33	49	360
46	"Karutan"	"Karutan1"	13000	280	-1	335	31	53	574
47	"Karutan 2"	"Karutan2"	14000	380	-1	344	36	54	576
34	"Raklion"	"Raklion"	15000	380	-1	287	39	15	458
51	"Nixies Lake"	"Nixies Lake"	50000	630	-1	522	41	7	744
66	"Old Kethotum"	"old Kethotum"	50000	700	-1	648	42	43	893
33	"Swamp of Calmness"	"Swamp_of_Calmness"	15000	380	-1	273	35	67	449
49	"Akeron"	"Akeron"	50000	300	-1	417	34	32	591
42	"Vulcanus"	"Vulcanus"	15000	300	-1	294	32	26	490
24	"Loren Deep"	"LorenDeep"	0	10	-1	104	56	18	-1
52	"Deep Dungeon 1"	"R-Dungeon1"	50000	770	-1	561	43	1	767
53	"Deep Dungeon 2"	"R-Dungeon2"	50000	770	-1	562	44	2	772
54	"Deep Dungeon 3"	"R-Dungeon3"	50000	770	-1	563	45	3	773
55	"Deep Dungeon 4"	"R-Dungeon4"	50000	770	-1	564	46	4	769
56	"Deep Dungeon 5"	"R-Dungeon5"	50000	770	-1	565	47	5	777
57	"Swamp of Darkness"	"SwampOfDarkness"	50000	800	-1	567	48	39	788
58	"Kubera Mine"	"KuberaMine"	50000	850	-1	591	58	62	810
59	"Abyss of Atlans"	"abyss_Atlans1"	50000	1000	-1	617	59	34	832
60	"Abyss of Atlans 2"	"abyss_Atlans2"	50000	1020	-1	618	60	35	834
61	"Abyss of Atlans 3"	"abyss_Atlans3"	50000	1030	-1	619	61	36	836
62	"Scorched Canyon"	"Scorched Canyon"	50000	1050	-1	620	62	28	846
63	"Red Smoke Icarus"	"Red Smoke Icarus"	50000	1070	-1	631	63	68	861
64	"Arenil Temple"	"Arenil Temple"	50000	1100	-1	634	64	29	867
65	"Ashen Aida"	"Ashen Aida"	50000	1130	-1	643	65	47	875
67	"Blaze Kethotum"	"Blaze Kethotum"	50000	1160	-1	659	66	27	896																	
68	"Kanturu Undergrounds"	"Kanturu Undergrounds"	50000	1190	-1	670	67	48	905
69	"Ignis Volcano"	"Ignis Volcano"	50000	1220	-1	675	68	44	911																	
//35	"Kalima 1"	"Kalima1"	0	40	-1	88	49	55	160
//36	"Kalima 2"	"Kalima2"	0	131	-1	89	50	56	180
//37	"Kalima 3"	"Kalima3"	0	181	-1	90	51	57	188
//38	"Kalima 4"	"Kalima4"	0	231	-1	91	52	58	196
//39	"Kalima 5"	"Kalima5"	0	281	-1	92	53	59	266
//40	"Kalima 6"	"Kalima6"	0	331	-1	93	54	60	274
//41	"Kalima 7"	"Kalima7"	0	350	-1	116	55	61	337
